Frame,X,Y,Visibility,L,Theta
0,0,0,0,-inf,-inf
1,307,625,1,0.0,0.0
2,0,0,0,-inf,-inf
3,776,320,1,3.1588172912597656,-68.88438873480568
4,770,328,1,2.691782057285309,-23.198590511739752
5,764,326,1,2.5,0.0
6,757,322,1,2.828427314758301,-44.99999999983196
7,750,321,1,2.643728584051132,-79.12961047288057
8,744,320,1,2.914320021867752,60.64980066765095
9,736,322,1,2.5,5.836343285156563e-09
10,728,324,1,2.5,0.0
11,722,328,1,2.614849090576172,81.99948857199512
12,715,333,1,2.5,90.0
13,710,337,1,2.643728584051132,-10.870389527736755
14,704,344,1,2.8284270763397217,-44.99999999979242
15,696,353,1,2.9154761135578156,59.03624346788177
16,692,357,1,2.6917088627815247,20.341986239443713
17,682,355,1,3.0149397999048233,17.022968678668096
18,673,352,1,2.614849090576172,8.000511426254972
19,666,350,1,3.1082673966884613,24.793989062435493
20,658,350,1,2.5,0.0
21,649,350,1,2.8284270763397217,44.99999999979242
22,641,352,1,2.7116503342986107,-9.412355009420978
23,634,356,1,2.914320021867752,-60.64980066708605
24,627,360,1,1.573854960501194,-12.933178396824097
25,633,353,1,2.789159782230854,75.96375653761271
26,643,341,1,3.1981379985809326,-48.69004011214797
27,659,326,1,2.8284270763397217,-44.99999999979242
28,667,320,1,2.765263795852661,-77.50842149658115
29,675,316,1,2.636432468891144,-33.52295673023996
30,682,315,1,2.3947885632514954,53.55136448452618
31,688,317,1,1.7888543605804443,63.43494882292201
32,698,317,1,2.1462953090667725,-42.85542333555595
33,701,319,1,2.4748736917972565,45.000000000605525
34,706,322,1,2.1920036673545837,74.82837555794302
35,710,312,1,2.5441005378961563,-82.42296597480492
36,0,0,0,-inf,-inf
37,712,298,1,2.1916686296463013,-15.128218581764632
38,700,304,1,2.6906040012836456,-19.604883996080236
39,678,316,1,3.194964677095413,-34.980885556114195
40,663,327,1,3.615194708108902,-41.50386454401703
41,646,341,1,3.084441661834717,-31.173592491377015
42,629,359,1,3.535534143447876,0.0
43,611,360,1,3.5286304876208305,-4.549028062144794
44,595,359,1,3.5641941726207733,4.227513838623398
45,594,359,1,2.8653596341609955,41.60265078558564
46,597,351,1,0.5,90.0
47,603,347,1,3.1885161697864532,-46.16601184066148
48,620,340,1,3.1470471918582916,-12.809335958604148
49,634,336,1,3.344624564051628,-22.25681492666166
50,648,333,1,2.9154761135578156,-30.96375653173814
51,663,332,1,2.6906040012836456,19.604883996080236
52,672,333,1,3.0253781974315643,-15.342586544359722
53,673,337,1,2.5,2.9181716425039675e-09
54,671,338,1,2.914320021867752,-60.64980066708605
55,668,344,1,2.604815699160099,-82.8677438509425
56,666,343,1,2.914320021867752,29.350199332913956
57,664,338,1,2.5,90.0
58,661,337,1,2.690001517534256,-19.2926990961698
59,659,336,1,2.614849090576172,81.99948857260691
