Frame,X,Y,Visibility,L,Theta
0,0,0,0,-inf,-inf
1,385,641,1,3.1507810801267624,-13.547776246952619
2,0,0,0,-inf,-inf
3,506,468,1,0.5,0.0
4,504,465,1,2.2814041525125504,12.731672530909917
5,507,466,1,2.909163147211075,55.26510069371743
6,507,471,1,0.5,90.0
7,520,467,1,0.0,0.0
8,542,461,1,2.5276176631450653,-18.823810319836205
9,0,0,0,-inf,-inf
10,385,641,1,3.1507810801267624,-13.547776246952619
11,0,0,0,-inf,-inf
12,968,291,1,2.5466241762042046,14.03624346768414
13,0,0,0,-inf,-inf
14,0,0,0,-inf,-inf
15,0,0,0,-inf,-inf
16,400,635,1,16.988775670528412,-21.62650579964941
17,0,0,0,-inf,-inf
18,0,0,0,-inf,-inf
19,408,632,1,13.462531119585037,-21.370766603911004
20,0,0,0,-inf,-inf
21,0,0,0,-inf,-inf
22,402,635,1,19.313158720731735,-21.122172206705226
23,0,0,0,-inf,-inf
24,0,0,0,-inf,-inf
25,402,635,1,19.3132084608078,-21.2469832869127
26,0,0,0,-inf,-inf
27,0,0,0,-inf,-inf
28,401,635,1,19.31318747997284,-21.165866647039977
29,0,0,0,-inf,-inf
30,0,0,0,-inf,-inf
31,419,628,1,8.074497431516647,-20.176139640331154
32,0,0,0,-inf,-inf
33,0,0,0,-inf,-inf
34,401,635,1,19.31319811940193,-21.193912940724456
35,0,0,0,-inf,-inf
36,0,0,0,-inf,-inf
37,400,636,1,16.988717436790466,-21.622218459573258
38,0,0,0,-inf,-inf
39,0,0,0,-inf,-inf
40,401,635,1,19.313200563192368,-21.199094314500652
41,0,0,0,-inf,-inf
42,0,0,0,-inf,-inf
43,401,635,1,19.31317526102066,-21.146551884738138
44,0,0,0,-inf,-inf
45,0,0,0,-inf,-inf
46,402,635,1,19.313198059797287,-21.19742627266815
47,0,0,0,-inf,-inf
48,0,0,0,-inf,-inf
49,401,635,1,19.313208043575287,-21.251859687933596
50,0,0,0,-inf,-inf
51,782,251,1,1.4729346334934235,-79.09929525692472
52,783,261,1,2.0344256684184074,4.7311611040837915
53,781,261,1,2.5387630835175514,6.047378538516403
54,781,261,1,1.4992695450782776,-1.7881671874986755
55,776,265,1,0.5,0.0
56,776,266,1,1.687036007642746,13.047712078694172
57,0,0,0,-inf,-inf
58,401,635,1,19.313208043575287,-21.251859687933596
59,0,0,0,-inf,-inf
60,0,0,0,-inf,-inf
61,402,635,1,19.31319984793663,-21.194170620756307
62,0,0,0,-inf,-inf
63,836,320,1,1.1067972034215927,-18.434948823630712
64,838,310,1,2.6270382702350616,55.530677230767644
65,839,298,1,2.9152987897396088,59.66799334955218
66,876,305,1,3.084441661834717,31.173592491053064
67,869,297,1,2.4998206794261932,36.183384856963826
68,840,285,1,2.9145857989788055,57.6202646323244
69,855,261,1,2.915339767932892,59.589740386629984
70,857,257,1,3.0,90.0
71,863,249,1,2.8284270763397217,44.999999998132374
72,867,244,1,2.0,0.0
73,869,242,1,2.213594287633896,18.43494882228835
74,872,242,1,2.0,90.0
75,876,242,1,2.5,2.9181716425039675e-09
76,879,243,1,2.5,90.0
77,882,246,1,2.5,90.0
78,885,251,1,2.5,90.0
79,887,256,1,2.0,0.0
80,890,262,1,2.6912843883037567,-66.41946025525698
81,0,0,0,-inf,-inf
82,433,622,1,1.7888543605804443,-26.56505117707799
83,0,0,0,-inf,-inf
84,894,298,1,3.040426068007946,8.026212003526512
85,878,303,1,3.1596237421035767,-20.78253827089518
86,863,310,1,3.3374480456113815,-20.853017505760114
87,846,317,1,3.2893713265657425,-15.290329955856897
88,830,325,1,2.9065441489219666,-35.44977731428971
89,816,322,1,3.2893713265657425,15.290329955856897
90,801,317,1,2.765263795852661,12.491578503653136
91,793,315,1,2.614849090576172,8.000511426910627
92,779,312,1,3.1470471918582916,12.809335958669259
93,764,310,1,3.0149397999048233,17.022968677974617
94,750,310,1,2.765263795852661,-12.491578503387961
95,736,311,1,3.0773784816265106,-5.128409920740597
96,720,313,1,2.8284270763397217,-44.99999999979242
97,706,317,1,3.154093325138092,-28.78116027097823
98,692,320,1,3.336067110300064,-32.509380196891975
99,676,326,1,3.123614937067032,-27.403601173649626
100,661,333,1,3.159695029258728,-20.750777717691726
101,649,332,1,3.2170276790857315,10.128231087212557
102,635,327,1,2.765263795852661,12.491578503622247
103,622,323,1,3.292938530445099,15.606379393242834
104,610,320,1,3.0318672098219395,-1.923015045023688
105,596,319,1,3.100373111665249,-7.0793677972788815
106,584,321,1,3.1991483569145203,-40.884827597568936
107,586,318,1,4.607315003871918,-75.60036149825835
108,609,309,1,3.1278167068958282,-9.96858288789833
109,628,303,1,3.5231366008520126,-12.929592031254346
110,647,299,1,3.161456048488617,-19.741010947091592
111,665,296,1,2.614849090576172,81.99948857278235
112,681,294,1,3.013362465426326,0.7816197522203474
113,696,293,1,3.041205234825611,-10.07880544724321
114,712,294,1,3.14067479968071,11.733949446144663
115,727,295,1,3.1470471918582916,12.809335958669259
116,740,297,1,3.0,0.0
117,754,301,1,2.636432468891144,33.522956729722154
